@relation test_clustered

@attribute Instance_number numeric
@attribute tweet string
@attribute user string
@attribute timestamp numeric
@attribute lat numeric
@attribute lon numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
41,' SaloneTete hey hun. I m just coolin',Pook1989,1300189161000,0.626975,-76.9581,cluster7
42,' SurreyAd I will be there and have my camera with me.',Chaosfruitbat,1300189164000,0.779046,-0.748351,cluster6
43,'I m at Bus Stop 36232576 (Leopold Place  Edinburgh) http   4sq.com e6GElv',cazoopz,1300189166000,0.828624,-3.18468,cluster8
44,' PsycochriS  ) vero!',Giacomosx,1300189168000,0.632444,8.85158,cluster5
45,' caesarbros dejate de historias y deja de cambiar piezas del traje como sí fueran tazos. Aburrimiento de aeropuerto!',pepebest,1300189170000,0.766192,14.396,cluster9
46,' VictorFDP descrever um cabelo deveria te envergonhar. Já que até o do Alemão  você gostou.',eduardovalim,1300189171000,-0.395645,-46.1086,cluster4
47,' kirkenlove OKAY ILL TRY TO.',KirkenKrissy,1300189172000,0.65852,-73.5081,cluster7
48,' captainweb c clair  ou etre sous subtance  qui fait rire',Pim59139,1300189172000,0.772412,3.01241,cluster6
49,'Hmm  follow up begint dicht te slibben  mensen -bericht komt!! http   4sq.com eBY8KX',misscomm,1300189173000,0.791371,4.9426,cluster9
50,'  Tristan NL  Oké tot straks liefje. Ik leg me iPod weg.',htiskylie,1300189173000,0.775147,5.89552,cluster9
51,'Nu gelooo !! RT  kemalgiffari 8  pesta janda man  ahahaha RT  imanmanzz  Pesta naon? Jang...RT  kemalgiffari 8  bos  http   myloc.me ixLOn',imanmanzz,1300189176000,-0.120148,107.61,cluster1
52,'I m at Geoffrey s bed (Watertorstraat) http   4sq.com ejdCbS',RagebolGeoff,1300189178000,0.785928,5.83035,cluster9
53,'I m at Cafe Zaiya (1073 6th Ave  W 41st St  New York) http   4sq.com fgDH9B',yzasia,1300189180000,0.652807,-73.9907,cluster7
54,' NonChalantLonda Sup Londa',LikeMikeC,1300189183000,0.62822,-77.0232,cluster7
55,'Eu ontem fui durmit td encolhido agarrando os travesseiros',Luccianomaia,1300189183000,-0.392064,-43.7952,cluster4
56,'I m at Austin Museum of Art - Laguna Gloria (3809 W 35th St  Austin) http   4sq.com fUyoHy',TB4G,1300189184000,0.504717,-97.7736,cluster7
57,'No lifetime appointments for Supreme Court INjustices.  No one in America has a lifetime job - why should the politically biased INjustices?',MinneeMouseCat,1300189185000,0.588075,-115.014,cluster7
58,'off to school follow me! i follow back!',ellenshowlove,1300189185000,0.6522,-73.8079,cluster7
59,' MaximSpiridonov ???',shebeko,1300189187000,0.830483,43.5465,cluster0
60,' jooplammerts dat gaat denk k op het moment een beetje lastig worden met jan etc.  p',maikelteheux,1300189187000,0.785755,5.75765,cluster9
61,' NiklasJonevrer  Hahahaha',mfrolund,1300189187000,0.860146,18.0626,cluster9
62,'RT  isyaisyo  Ketika anak masih kanak2 jdilah orang tua yg menjaganya. Saat mereka remaja  jadilah sahabatnya  (cont) http   tl.gd 99oqaa',tizha,1300189187000,-0.111063,106.874,cluster1
63,'gud morn my other world','Neykid truth',1300189188000,0.651154,-74.0972,cluster7
64,'Hah   nih liat *nempokeunBuluIdung RT  justantiezahra   jo zo ne RT  MentionKe  #MentionKe temen kamu yang bulu idungnya banyak','jo zo ne',1300189190000,-0.11817,106.962,cluster1
65,'Badan pegel2.. http   myloc.me ixLWM','Hifzan ir',1300189193000,-0.120751,107.364,cluster1
66,'Sabar nardo  D RT  nardosahertian7  Tai ah... http   myloc.me ixLWP',siahayaAUDRY,1300189194000,-0.089801,119.402,cluster1
67,'Out in the world and explore. Sogndal in Norway next.    OSL Oslo Lufthavn Gardermoen http   gowal.la c 3Leaj',MentorGuru,1300189197000,0.861382,10.3286,cluster9
68,'Abisbya siapa dong!?hheRT  uphaandudh  Hahaa siaull aku nnya km ? RT  JustLyaa  Emg ada? Haha! Lo yaa  ))RT (cont) http   tl.gd 99oqen',JustLyaa,1300189197000,-0.112133,106.725,cluster1
69,'I m at Roebel Nia (Ruko Banjar Wijaya  Tangerang) http   4sq.com eYTmjA',andreafelita,1300189201000,-0.108741,106.633,cluster1
70,'Mentionan RT  PickOneIndo  #pickoneID DIFOLLBACK ARTIS   MENTIONAN SAMA ARTIS http   myloc.me ixLXI',rhiaaiia,1300189203000,-0.109693,106.77,cluster1
71,'I m at Sonda Procwork (Almirante Barroso  52  Rio de Janeiro) http   4sq.com fPBb2U',AndreMarcos,1300189205000,-0.392064,-43.7952,cluster4
72,' bintangadita eeh kerjaan apa cong? Akika kok nggak di kasih tau °(•??.•??)°  http   myloc.me ixLXP',tiaraMARSYA,1300189205000,-0.132175,110.769,cluster1
73,'berita bahagianya jumat ini  yuLi aNie Tha and I ke banjar haha ! RT  fersha fefey  Tv yg satu masih soal bom  yg ... http   tmi.me 7HR48',Abiidris,1300189206000,-0.072826,110.838,cluster1
74,'Estará em discussão  na visita de Obama ao Brasil  a nossa inclusão na VWP  lista das nações que não precisam de visto para entrar nos EUA.',idaleciojr,1300189206000,-0.102753,-35.2912,cluster4
75,' Iaralivelywoods pero bueno  a pensar en otra cosa  mariposa xD',manumanyes,1300189210000,0.635662,-0.396896,cluster5
76,'Linda Ronstadt – Feels Like Home http   bit.ly gSyoTj #Radio2 #NowPlaying',WhatsOnRadio2,1300189211000,0.782774,-0.146397,cluster6
77,'Tempatnya mana too?haha pak uya yaa?abs dsolo ngga ad  ( RT  tinyoos http   myloc.me ixLYF',nathaniaratih,1300189213000,-0.131759,110.793,cluster1
78,' kingsleyyy have you ever thought of doing vlogs on the streets like ijustine or shane dawson?? Lol would love it I d you did =D',DDLGomezCyrus,1300189213000,0.800724,-6.28204,cluster8
79,'Can t go back to sleep  woke up early to hit the gym but feeling hella lazy to get up....','itsAva no1elz',1300189213000,0.610624,-122.472,cluster7
80,' bovandervoort hahaha genieten ook',Klaaimeks,1300189217000,0.787163,4.23345,cluster9
81,'50.9F (Feels  50.9F) - Humidity  90\% - Wind  13.0mph N - Gust  13.0mph - Pressure  1020.9mb (+0.5)  #weather www.moutoncoveweather.com',moutoncovewx,1300189217000,0.482596,-94.0434,cluster7
82,'I m at Ingenieros San Mames http   4sq.com eTlsr3','martxe extram',1300189217000,0.685334,-2.94859,cluster5
83,'tambah ribu nya jgn lupa yaa RT  AnissaFaradila  Betul! +100! RT  ayurahmatia   AnissaFaradila ooooh jadi  witarestine anak tetangga?',ayurahmatia,1300189220000,-0.126902,112.729,cluster1
84,'Full perutlah syg  ) RT  vhiasani  Full apa??RT  ekiiRR  Full  vhiasani  nrlmutmainnah  desyadethya  ) http   myloc.me ixo5v',ekiiRR,1300189221000,-0.091212,119.379,cluster1
85,'I m at Kop Amok (Ved Vesterport 7  Copenhagen) http   4sq.com hfOcPI',denmark98,1300189224000,0.825838,12.5555,cluster9
86,'Geiger Clicks Per Minute  15 [2011-03-15 11 40 10.311055] #tehachapi #japan #fukushima',TehachapiClicky,1300189224000,0.574981,-118.593,cluster7
87,'Lansing Turbo Nerwork (  Okemos Community Church) http   4sq.com dTh8DZ',pauldeuce,1300189225000,0.678396,-84.428,cluster7
88,' urasnobucho InsyaAllah. Xde bw hp... Camne nak sms?',shazmj2011,1300189225000,0.051892,101.49,cluster1
89,' hechosdehoy Pues a ver si ella y el predican con l ejemplo!!!!!!!!!!!!!!!!! corrupptospp',ensupunto,1300189226000,0.637055,2.65451,cluster5
90,' megodruadh We ve also done stories about recall efforts of Dems and Republicans and support for  govwalker',SusanKim4,1300189226000,0.682618,-87.9724,cluster7
91,'Ik heb zojuist veronderstelt dat ik chronisch #pwwvermijdend ben',basjman90,1300189226000,0.787483,4.49436,cluster9
92,'siete una p2 di babbi',albameccanica,1300189226000,0.709945,12.1668,cluster3
93,' arnold11 asked them where the trophy cabinet was  they just looked at me puzzled','P McCabe',1300189228000,0.803688,-2.27101,cluster8
94,'Haha iye janRT  fauzanzuhdi  sensor pake paint aja kayanya susah amat yaak haha RT  herdianaditya  Okay.. RCTI dan ... http   tmi.me 7HR7o',herdianaditya,1300189229000,-0.10816,106.787,cluster1
95,' fernandomerino si si pero hay otro mas bueno. Con este si leo con el otro no podia concentrarme JAJAJAJAJAJA',Famadrid,1300189230000,0.752632,2.3556,cluster6
96,'Tea dinner then bed time. (  Starbucks) http   4sq.com hruVfh',xhozt,1300189230000,0.543492,-96.9935,cluster7
97,'#questionsihate  are you really 14?! ',joannaacampbell,1300189234000,0.828752,-3.21655,cluster8
98,'http   yfrog.com h86ypiej',akaserious,1300189234000,0.864066,30.0897,cluster0
99,' fleurvangelder hebben we morgen uitval??',lisabongers,1300189236000,0.785141,4.99372,cluster9
100,'Astaga gitu tuh bang randop main blkg- - ckckckRT  boniiboon  Randop marah2 tau ge. Astaga *ngompor* RT (cont) http   tl.gd 99oqq0',ollipee,1300189236000,-0.022377,116.806,cluster1
101,'#banken en #verzekeraars moeten af van doorlopende provisie naar een vergoeding voor klantbehoud!',AndreWolfs,1300189237000,0.794994,6.40405,cluster9
102,'Just finished a class at HEAT studios.  It whooped my ass.',kellyspaulding,1300189237000,0.583829,-78.8171,cluster7
103,'Nao sei pq nao fiquei em casa  serio eu ia ganhar mais qq',bruunnoeduardo,1300189238000,-0.445406,-49.1926,cluster4
104,'Creatiemeeting! (  These Days - de witte) http   4sq.com e2lhJi',sixandmore,1300189238000,0.779051,4.30037,cluster6
105,'Citigroup  Apps Dev Sr. Programmer Anlyst ( #London ) http   bit.ly cYP48M #CitiJobs #IT #Jobs #Job #TweetMyJOBS',CitiJobTweets,1300189239000,0.782567,-0.140846,cluster6
106,' mashina s ?? ???? ??? ?? ?? ?????? ?? ? ???? ????? ??? ?? ???? ? ?? ???. ;) ?????? ???????. ?????? ??? ? ????? ??????????.',nikitosital,1300189239000,0.824035,37.1317,cluster0
107,'RT  StatusHatiGue  Kenapa lo? ga suka sama gue? ya udah gih sana. http   myloc.me ixM1J',aryandarsya,1300189239000,-0.10885,106.691,cluster1
108,'I don t want to jinx it  but the SA #Proteashave recovered nicely – they are currently 192-5 after 38 overs  DCCoulson',guillum,1300189240000,-0.564368,18.318,cluster2
109,'T-Mobile  Retail Sales Associate (1383 Wilshire Blvd   #LosAngeles   CA) http   bit.ly e2KpER  #Retail #Jobs #Job #TweetMyJOBS','Tmobile Retail',1300189241000,0.559727,-118.287,cluster7
110,'Nem acordei atrasado nao.','Aleph Casara',1300189243000,-0.276516,-48.286,cluster4
111,'I m at Nunu Home (Btn tabaria D6 no 4  Makassar) http   4sq.com i4rOVd',nunuave,1300189243000,-0.091212,119.379,cluster1
112,'I m at Marcus  house (29 Wingli garden jalan batu lintang  Kuching) http   4sq.com gci1gS',marcuschua94,1300189244000,0.018369,110.128,cluster1
113,'my body is tired but my mind is not',hilarylanders,1300189245000,0.637451,-79.9882,cluster7
114,'Show with  TILUBAND Tonight (  Canselori ukm) http   4sq.com hOLswa',JoharLucas,1300189246000,0.050049,101.718,cluster1
115,' mirhadgerald piss  D mumumu http   myloc.me ixM2U',dhayuna,1300189250000,-0.126303,112.754,cluster1
116,' jordyylove #narco','Only1 TREasure',1300189253000,0.550692,-111.944,cluster7
117,'To longe demais... Quebrada dos mano (  SGA Toyota) http   4sq.com hlU4L8',Bottazzo,1300189253000,-0.390458,-43.1916,cluster4
118,'Uhuk RT  semilirsmlr  Rmh kinclong   mobil cemerlang (• ˆ?ˆ •) Mantu cager mantu cager . . http   myloc.me ixM3n',imdevii,1300189255000,-0.151422,115.174,cluster1
119,'RT  voaislam  Inilah Pesan Kematian dalam Paket Bom untuk Ulil dan 412 Tokoh JIL http   dlvr.it KK4Cf http   myloc.me ixM3q','bambang wiedodo',1300189256000,-0.106963,106.717,cluster1
120,' Miquelitros queremos foto del falleret!!!',rosadeltoro,1300189258000,0.635789,-0.36984,cluster5
121,'I m at Surya Megah.Net (Ruko Istana Dinoyo A1-2. Jl. MT Haryono  Malang) http   4sq.com e50vZv',Junnned,1300189258000,-0.138584,112.578,cluster1
122,'Iyonoo situ kan sama kyk sini ilmunya tinggi....RT  DodytCha  koyo aku brati.. ;p RT  allinadevi  Kunci hidup ... http   tmi.me 7HRcd',allinadevi,1300189259000,-0.108237,106.758,cluster1
123,' SuusPenninkhof genomen ja;p ik was ziek  )',Thyrafct,1300189260000,0.79006,6.70196,cluster9
124,'Lookin 4 DVDs ^^ (  Mediamarkt) http   4sq.com fhOEnl','DJ Biohazard',1300189260000,0.801927,6.99273,cluster9
125,'I m up... -   -','0hhh Lizzy',1300189262000,0.559727,-118.287,cluster7
126,'Dinner before work out (  Syed Bistro w   vindersingh) http   4sq.com eV7N9W',KhirOmar,1300189263000,0.054162,101.6,cluster1
127,'i got a boner 4 dev ugh',jolovesrae,1300189263000,0.538559,-117.227,cluster7
128,'semacam ngantriiiii BLT yaa.. *sssshh..fuuuh* (  Langit musik telkomsel w   pewwe) http   4sq.com f9QMsB',tiwichubby,1300189264000,-0.109185,106.792,cluster1
129,' swearimnotpaul these update are excellent. Stuck in work with no access to the Internet so thanks a million. Go  Irelandcricket',therocketncw,1300189337000,0.79101,-9.36682,cluster8
130,'  GudBoyGneBadd  hell naw. That s only once a year lol','DARK N LUVELY 1',1300189265000,0.553857,-84.5356,cluster7
131,'Dear Premenstrual Syndrome  we really dislike you.. sincerely me and my pants!!!',PUlabgirl,1300189265000,0.642028,-75.2513,cluster7
132,'I m at Braga City Walk (Jl. Braga  Bandung) http   4sq.com gTC1xa',Lukmaaann,1300189268000,-0.120432,107.609,cluster1
133,'Tidak bisa membayangkan wajahmu tnpa poni mbak.. == a RT  nandamegumi   Motong poni tanpa kaca... Ide buruk. #menyesal',Kyoruu2nd,1300189268000,-0.13312,111.502,cluster1
134,'To indo embora (h) nada cm passar mal! Merda','oi maju',1300189270000,-0.395965,-47.0287,cluster4
135,' joostborneman wanneer is dat?','dennis fct',1300189270000,0.79006,6.70196,cluster9
136,'[1] SC Medical - Trouble Breathing Eglinton Ave b w Birchmount Rd & Massey Creek Pumper-232 [222]',tofire,1300189275000,0.691178,-79.3028,cluster7
137,'I just ousted  glowstars as the mayor of Broadgate Square on  foursquare! http   4sq.com d6lGF8',salimfadhley,1300189275000,0.782829,-0.080775,cluster6
138,'Tengo clase dentro de una hora 20 minutos! Y apenas desperté! Mal inicio de semana!',iMarcs,1300189276000,0.332234,-99.1283,cluster7
139,'I m at Gletschergarten (Denkmalstrasse 4  Luzern) http   4sq.com eTrB5J',T1000Modell,1300189291000,0.730919,8.12708,cluster3
140,'#Obercunnersdorf bei #Dresden Angebot  ARTE für Büros Ihrer Firma für z.B. 440 00 EUR (Zeigen Sie Profi..)  http   b4event.de ku5613 a','b4event Sachsen',1300189277000,0.777276,14.592,cluster9
141,' deniqbalteruna follow &gt; om  haspahani   ini Om Goenawan Mohd nya Batam',ammarsatria,1300189278000,0.017947,103.886,cluster1
142,'Uploading Photo on Twitter See if it Posts.......I m Bored hu??? Wide AwKward awake...20 mln.until KTLA News...grrrrr http   t.co GQxthUL',ozolicious,1300189278000,0.557461,-118.112,cluster7
143,'Eh itu di metro tv ada bom apaan ? Asli ga ngerti bisa ada bom di dalem buku. Bisa2 bulan depan ada bom di bill credit card ?',adjiedewangga,1300189278000,-0.113526,106.895,cluster1
144,'my fav celebs at the moment are JUSTIN  Jaden and Selena. I love them.',BeliebersMTL,1300189280000,0.712008,-73.9986,cluster7
145,'A-2  (negro) #barcelona #a2 #abrera #trafico km.584.0-577.0 http   bit.ly eBSzs7','tuitrafico feed',1300189283000,0.662555,1.85438,cluster5
146,' pirrni lha kagak tau jugga? Hahahaha  itu lho say bom yg di tangan polisi trus meledak gw pengen liat deh ya video nya',dynnaaa,1300189283000,-0.135795,110.37,cluster1
147,'Again short term memory! http   myloc.me ixLXw',iranitaastriani,1300189289000,-0.109185,106.792,cluster1
148,'If your dog (or your kid) is acting up a bit more than usual  rid your home of any processed treats! Sugar&artifical ingredients are no-nos.','Jeannie OD',1300189289000,0.628034,-77.0344,cluster7
149,' JudithRipolles Happy Judith´s Day!!  D',PabloPitarch,1300189290000,0.648302,-0.21506,cluster5
150,'Good Morning Sir!!  dLamarMUA im up mad early... i want some pancakes!!','Juno Styles',1300189290000,0.53737,-93.755,cluster7
151,'Aihhh situ dimanaa?? RT  aimecibo   Dmamoz deket dong kita!  D http   myloc.me ixM85',Dmamoz,1300189294000,-0.110161,106.812,cluster1
152,'Used car recently added  #HYUNDAI #SANTA-FE only £3542 http   bit.ly fu7rXX http   twitpic.com 49p0sg','ATuk SUVs',1300189294000,0.799844,-1.26007,cluster8
153,'Gkbsa brenti ngakak liat marioo.. WTF *melotot*  Jessy Yulyanti. http   myloc.me ixM8i',cynkeylovefa,1300189296000,-0.107489,106.827,cluster1
154,'Aish  kenapa lg sayang?RT  egginaabyl   ranatiaa mulai lagi kan del gua di marahin !! T*K !! http   myloc.me ixM6P',ranatiaa,1300189297000,-0.115416,106.795,cluster1
155,' krevetina ??????!',xLittleMonstr,1300189303000,0.824035,37.1317,cluster0
156,'Becoming an Expert in your passion can bring you lots of success...',Barchinski,1300189305000,0.643511,-75.2988,cluster7
157,' Chrisproper lieffff zo n broer',gaituutepe,1300189307000,0.786367,5.11408,cluster9
158,'Entar beben dibawa ksitu ya sama cece  DRT  gabrielloolivia  Kebatam dong bben hehe  ) RT  callisttabben  Ahhhhh cece kangen banget ama bubu',callisttabben,1300189381000,0.062848,98.6688,cluster1
159,'Bon ap  )','Tiste L',1300189309000,0.773747,2.48832,cluster6
160,'Got a computer virus? Need to back-up your data? Need to set-up a home network? I can help! http   bit.ly dN8r1V',tad1073,1300189310000,0.557674,-84.6168,cluster7
161,'Excellent service by the staffs  especially thoughtful when dealing with young kids! Really appreciate it. http   4sq.com h9EQYF',MyThinkerBell,1300189311000,0.053785,101.493,cluster1
162,'sleep is overrated.',kristinmargaret,1300189311000,0.641998,-75.209,cluster7
163,' Mme G and Happy Birthday! Was just about to on facebook  and realised there d be little point. #twitterrulesfacebookdrools',stukulele,1300189312000,0.782279,-3.76964,cluster6
164,'Just Got Off Tha Phone With My Sassster Tilah Fonoti ) I Miss Her Lots! We Talked For Over An Hour! I Love Our Convos. LOL- Love You Sis!',WaianaeBADBOY,1300189314000,0.3641,-158.282,cluster7
165,'Eh  menyampah plak aku ngan ko ni lah. Tweet ko suma mengada2. Suma gila glamer!!! http   myloc.me ixMau',EmmaSherrina,1300189317000,0.054948,101.731,cluster1
166,'Agora eu vou exorcizar esse regueiro que baixou em mim.',coramade,1300189317000,-0.392064,-43.7952,cluster4
167,'I m at Kost ??(•ˆ?ˆ?????•) (Seturan  Jl.Raya Seturan 168  Depok) http   4sq.com eqVBQH','Niesa Febriana',1300189321000,-0.135795,110.37,cluster1
168,' kerrijack just make sure you breathe through you mouth and you ll be fine.',JamesMcManners,1300189321000,0.570177,-92.3582,cluster7
169,'Si kacang atom garuda mba..hahaa RT  pincesreny   Iisbaedlowie emg sapa yang nyuruh ngegendutin badan lg is? http   myloc.me ixMbP',Iisbaedlowie,1300189329000,-0.135678,110.368,cluster1
170,'Haha derita lo man  p  )). RT  tarriendudd  kebiasaan ngomong gue-lo sama  se letha  jeeciccut febrimaharani   (cont) http   tl.gd 99orl0',febrimaharani,1300189329000,-0.127213,112.683,cluster1
171,'Miss RT  RIFKYSATYADHARM  baku dong? RT  dheahaqkin  Rindu RT  RIFKYSATYADHARM  kalo kata kangen itu dianggep ... http   tmi.me 7HRnZ',dheahaqkin,1300189333000,-0.10885,106.691,cluster1
172,' lissetbarrera xD si yA mejOr duerMete!! apeNas es martEs!!\"!! ^•^',NOUMAK89,1300189334000,0.330465,-99.2059,cluster7
173,'I m at Decathlon Forum http   4sq.com hgITqW',xafbcn,1300189338000,0.661455,2.20619,cluster5
174,'Insyaallah ti..hahahaRT  attikusmianti  Kawin nov !ahahahahaha RT  nova linda  2013 http   myloc.me ixLMv http   myloc.me ixMcD','nova linda',1300189338000,-0.108374,106.909,cluster1
175,'Doing the same thing I did yesterday. #Livejasmin 9-2 then #camwhores 2-3 then #mfc 4-9 or 7-10 depends on if I cook dinner tonight',TinyDanaLeigh,1300189340000,0.654505,-73.8678,cluster7
176,'Emang lg dmn say?RT  haeahmad  Sini atuh ketemuan ;) RT  sarah tristanti  Gemes ih pengen nyubit pipinya ;) RT haeahmad  Iyaa say ;) hihi RT','sarah tristanti',1300189342000,-0.12073,107.657,cluster1
177,'Apres avoir acheter un sandwish chez Paul  je vais au cine voir Paul!',MagikDriks,1300189344000,0.740968,1.87585,cluster6
178,'Perfect Storm being derailed by evil dictators and monarchs? http   buswk.co h6hB9X #glennbeck #tcot','Carter flipt Me',1300189347000,0.652227,-74.0086,cluster7
179,'Bagus bagus!!!?(? ? !)???  RT  detikcom  Waduh! Harga Pertamax Tembus Rp 8.700 Liter... http   de.tk LO17p via  detikfinance',himsaanggara,1300189347000,-0.109693,106.77,cluster1
180,'??? ?????????? ??????? ???? ? ????????? ??????. ??',ArkLeo,1300189350000,0.804025,9.78059,cluster9
181,'Early lunch #win',nathorpe,1300189350000,0.789704,0.068616,cluster6
182,'Neleg Setum RT  soalSUNDA  \"Aduuuh beuteung mules kieu  jigana mah gara-gara kamari      \" #soalSUNDA http   myloc.me ixMez','tries guitars',1300189353000,-0.12073,107.657,cluster1
